날짜,제품코드,평균가격,제품명
20251106,D047,1576.42,자동차경유
20251107,D047,1580.15,자동차경유
20251108,D047,1584.05,자동차경유
20251109,D047,1585.94,자동차경유
20251110,D047,1591.06,자동차경유
20251111,D047,1597.65,자동차경유
20251112,D047,1604.44,자동차경유
20251113,D047,1611.01,자동차경유
20251114,D047,1617.52,자동차경유
20251115,D047,1622.73,자동차경유
20251116,D047,1625.9,자동차경유
20251117,D047,1631.42,자동차경유
20251118,D047,1636.97,자동차경유
20251119,D047,1641.99,자동차경유
20251120,D047,1646.54,자동차경유
20251121,D047,1651.74,자동차경유
20251122,D047,1654.97,자동차경유
20251123,D047,1656.28,자동차경유
20251124,D047,1659.37,자동차경유
20251125,D047,1661.39,자동차경유
20251126,D047,1662.32,자동차경유
20251127,D047,1662.79,자동차경유
20251128,D047,1663.15,자동차경유
20251129,D047,1662.96,자동차경유
20251130,D047,1662.84,자동차경유
20251201,D047,1663.32,자동차경유
20251202,D047,1662.98,자동차경유
20251203,D047,1662.72,자동차경유
20251204,D047,1662.58,자동차경유
20251205,D047,1662.34,자동차경유
20251206,D047,1661.6,자동차경유
20251207,D047,1661.36,자동차경유
20251208,D047,1661.58,자동차경유
20251209,D047,1660.84,자동차경유
20251210,D047,1659.89,자동차경유
20251211,D047,1658.65,자동차경유
20251212,D047,1657.45,자동차경유
20251213,D047,1655.95,자동차경유
20251214,D047,1655.36,자동차경유
20251215,D047,1654.78,자동차경유
20251216,D047,1653.02,자동차경유
20251217,D047,1651.07,자동차경유
20251218,D047,1649.03,자동차경유
20251219,D047,1647.21,자동차경유
20251220,D047,1645.29,자동차경유
20251221,D047,1644.43,자동차경유
20251222,D047,1643.6,자동차경유
20251223,D047,1641.66,자동차경유
20251224,D047,1640.03,자동차경유
20251225,D047,1638.52,자동차경유
20251226,D047,1637.89,자동차경유
20251227,D047,1636.47,자동차경유
20251228,D047,1636.0,자동차경유
20251229,D047,1634.81,자동차경유
20251230,D047,1633.19,자동차경유
